"Emeichen","This app is great.  I’m using it to review Spanish and learn Chinese  but the app only offers simplified Chinese and I am more interested in Traditional Chinese  for traveling in Taiwan and Hong Kong.","+","5","Please add Traditional Chinese",3536296877,"https://itunes.apple.com/us/reviews/id11588413",5.2.63,0
"nico nico nickname","Duolingo used to look clean and neat but this new update was frankly just a downgrade. Please bring the old duolingo back.","-","1","****Delete the new update****",3536054477,"https://itunes.apple.com/us/reviews/id663586521",5.2.63,0
"Bsearle","This app is so much fun I’m hooked on learning languages!","+","5","Love it",3535605817,"https://itunes.apple.com/us/reviews/id43631096",5.2.63,0
"tzon","I can’t be the only one struggling to see  highlighted words. The are yellow and are VERY hard to see. My vision is 20/20 corrected with glasses so I don’t think the problem is with my eyes.","+","4","Almost perfect",3535402373,"https://itunes.apple.com/us/reviews/id38007911",5.2.63,0
"GoGoBiz","I love it please add Tagalog so I can learn thanks.","+","4","Make Tagalog",3535391711,"https://itunes.apple.com/us/reviews/id34057221",5.2.63,0
"Cov3Rt D3aTh","I have heard it’s good  but I really wanted to learn Arabic or Farsi  but was quickly disappointed due to the language not being available. Please add on soon","-","3","Needs Arabic or Farsi",3535313549,"https://itunes.apple.com/us/reviews/id267554731",5.2.63,0
"gejdtsbsk","I downloaded this app to learn Latin. Also i had trouble creating an account.","-","3","Languages",3535289800,"https://itunes.apple.com/us/reviews/id949948656",5.2.63,0
"coolguy2116","This app is bad as it has no language to learn Thai.","-","1","No Learning Thai",3535284796,"https://itunes.apple.com/us/reviews/id599019562",5.2.63,0
"Still no.","It comes “equipped” with a streak repair if you miss your streak by 48 hours  but I lost mine after one missed day. Very discouraging. That’s the only feature I felt was worth paying for.","-","1","Don’t pay for plus",3535134705,"https://itunes.apple.com/us/reviews/id253791964",5.2.63,0
"Wulf Chime","When I first say the apps front image   I thought there was a bug   but as soon as I entered the app   my eyes cringed at everything  when I was doing my daily goal   I was distracted by the way everything looked and it took me longer than it would usually take me to finish my goal   I would really appreciate if you turn it back to normal because even though it’s for all ages   even the tiny ones can cringe   please change it so that everything can go back to normal and my eyes won’t cringe anymore  no hate 💜","+","4","The new update messed up the app",3535038475,"https://itunes.apple.com/us/reviews/id830761674",5.2.63,0
"12344667886787","I had the app a few years ago and deleted it because I gave up. I re-downloaded the app because I really wanted to pick up another language  and get my revenge for giving up years ago. Once I downloaded the app  my old profile didn’t work. Saying my account info was not recognized. Not a big deal because of how little a tried when I had the app years ago. I’ve had the app for about 4 months now. One thing I noticed is that they now have a “heart meter.” Turns out that if you get enough of the lessons wrong  you lose your hearts and can’t continue until you  guess what... pay  or wait for the “heart meter” to regenerate. Not too happy to see that the app will limit your progress based on what you’re willing to spend  and how many mistakes you make. Quite a bit of a let down. Fun fact: if you decide to quit one of the lessons half way though  for any reason  you lose a heart. The app still helps with my learning  which is great  but it is very frustrating to see my progression limited halted because of the limiters. Mistakes are bound to happen  just doesn’t seem right that I can’t continue because of them. Would still recommend the app  but just be aware it may take you longer. Good luck!","-","2","Pay-to-learn",3534999319,"https://itunes.apple.com/us/reviews/id373774855",5.2.63,0
"Izzy Conley","I feel they’ve improved a lot over the corse of a couple of years. Especially making each lesson deeper and making you spend more time on each subject. I love it so much I even bought plus! Keep it up duo 🕺🏻🕺🏻🕺🏻","+","5","Definitely improved a lot",3534923493,"https://itunes.apple.com/us/reviews/id767329490",5.2.63,0
"dancregirl","I’ve been waiting for the Hindi for English speakers for years but it was worth the long wait! I tried learning on my own through other apps/websites but never have I learned so quickly or seamlessly. At this rate I’ll be conversational by next year!","+","5","Best language learning platform ever",3534912732,"https://itunes.apple.com/us/reviews/id35872858",5.2.63,0
"m.khm","The app is very good but it would be better if it has a curse for learning english for Persians","-","3","Add the curse english in persian",3534857364,"https://itunes.apple.com/us/reviews/id764895493",5.2.63,0
"it's amazeballssjdjxjjc","just got the new update and I hate how it looks. it’s gonna take a lot of getting used to.","-","1","gross",3534619628,"https://itunes.apple.com/us/reviews/id438537617",5.2.63,0
"Cali_bound_4_life","I love this app so much I know several languages now; However  the new update made everything look different and I’m just not loving it as much as the old update. Is there a way that we can go back to the way it used to look. It is mainly because now it looks like a kiddie app?!","+","4","Updated",3534614298,"https://itunes.apple.com/us/reviews/id454118196",5.2.63,0
"Yellow ballzilla","Hits on listening  writing and speaking","+","5","Easy to use  learning alot",3534603718,"https://itunes.apple.com/us/reviews/id420370076",5.2.63,0
"bj816","I love this app! The owl makes my day  and I always loved the setup. However  the most recent update  while not changing the content  made the app less cute and I'm not a fan of the new look. Change it back! I loved the old version!","+","5","Bad Redesign",3534568226,"https://itunes.apple.com/us/reviews/id930829170",5.2.63,0
"JCKnisd","Whenever I have to type a response the App says my answer incorrect. My answer matches their answer exactly :(","-","1","Doesn’t work properly!!!",3534463455,"https://itunes.apple.com/us/reviews/id891183105",5.2.63,0
"hawksheaven51","This is a amazing app that is very useful and if you work a lot in one day you might know the language in one day. I recommend this app if you want to learn a language real fast.","+","5","Five Stars!",3534417999,"https://itunes.apple.com/us/reviews/id874948364",5.2.63,0
"Mrs. Emmy Lou","I absolutely love this app. It’s helped refresh what I already know and strengthened my abilities. It’s awesome! Pretty sure I’m addicted.","+","5","Amazing!!!",3534375895,"https://itunes.apple.com/us/reviews/id196319943",5.2.63,0
"mangalo_mermaid","duolingo isn’t great with Asian languages. it shows you characters and words  but doesn’t show you the alphabet or how grammar works. also WHY IS AFRIKAANS STILL NOT ON HERE!?!?!?? it has FICTIONAL languages  so where’s the one that’s the reason I got duo!?","-","3","has its limits",3534262649,"https://itunes.apple.com/us/reviews/id560752840",5.2.63,0
"viva de fe","Have to wait 4hrs to play again 😡🤷‍♀️ it’s free 🙂","-","3","Waiting to learn",3534195152,"https://itunes.apple.com/us/reviews/id597319747",5.2.63,0
"parler français","I wish that there weren’t life point things that get in the way of literally everything.","-","3","A problem",3534130057,"https://itunes.apple.com/us/reviews/id749350651",5.2.63,0
"El chino#1","El Duolingo es una forma muy excelente para aprender  un idioma diferente  muchas gracias por este sistema .","+","5","Duolingo",3533989279,"https://itunes.apple.com/us/reviews/id949804938",5.2.63,0
"אויף א","I want to learn Yiddish but you don’t have it please put it on here","+","5","Please",3533946339,"https://itunes.apple.com/us/reviews/id818453555",5.2.63,0
"andrew ratliff","Almost every time you have to speak the translation it does not recognize the speech. It gives you three times and you can say the correct thing and it still says incorrect. This really hurts your streak and your energy. would be five stars if this problem was fixed","+","4","Could easily be 5 Stars",3533935356,"https://itunes.apple.com/us/reviews/id916082348",5.2.63,0
"maw0260@hotmail","Your app was down for a couple of days last week and I lost my 180 day streak. I’d like to get that back if possible.","+","4","App issues",3533922223,"https://itunes.apple.com/us/reviews/id653930857",5.2.63,0
"The Weinz","It’s set up like a game so it triggers the reward centers in your brain. It keeps you interested. Very quick lessons and easy to do in a couple of minutes. Does a fantastic job of reinforcing words  syntax  masculine versus feminine use  and appears to taylor itself to your shortcomings and strengths.  You start out learning like a kid and then it teaches you the correct usage when you’re dying to know anyway. This is beautiful and well thought out.  If you’re an adult I recommend it. You will never learn a language as naturally  quickly or as easily. If you give this to kids  parents will be shocked when their kids start talking to them in a different language in a matter of weeks.   I rarely bother to make reviews but I am simply blown away by this app.","+","5","Beyond Fantastic- You learn Naturally",3533892106,"https://itunes.apple.com/us/reviews/id853344384",5.2.63,0
"BunnyStudios","I love this app so much it is helpful. The only thing I had a bit of trouble with is when I use the microphone for some reason it would say it was incorrect when I said the exact same thing but that’s okay! This app is really nice 🙂👌🏾","+","5","I love it so much",3533780633,"https://itunes.apple.com/us/reviews/id237533489",5.2.63,0
"aj lover and dog lover","So I go into Duolingo one day and since I’m learning Chinese I start to practice the hardest thing for me  names. So I got one wrong by one small word and I loose a heart then that happened again so I quit thinking “ Oh my goodness I’m gonna be out of hearts and I won’t learn the Chinese.” So maybe if instead of hearts maybe it can just say “ Good try but the answer is             .” I could be fluent in Chinese by now. This is not hao.      P.S. hao means good in Chinese","-","3","Not really helping me",3533751619,"https://itunes.apple.com/us/reviews/id568520238",5.2.63,0
"Parker Hutchinson","The “enter” key is so close to the other keys that I often inadvertently submit incomplete answers while typing  which counts against my health and cuts my lessons short.","-","3","Poor Keyboard Interface",3533606223,"https://itunes.apple.com/us/reviews/id31441034",5.2.63,0
"1914Kyle","Don’t get me wrong  I love Duolingo. But the reason I give it 4 stars is because they should have other languages before they do fictional ones. For example  there should be an Arabic course  and a Thai course  etc. There isn’t that many resources for learning them and Duolingo having those languages plus more would make the app 5 stars","+","4","Good  but...",3533589854,"https://itunes.apple.com/us/reviews/id339410558",5.2.63,0
"Davru","My one persistent (albeit minor) complaint has been that I always do my daily Duolingo on my iPad  which is in landscape orientation with a Smart Keypad  and Duolingo has always insisted on switching to forced portrait mode (i.e.  sideways) for the end of lesson screens and the “Tips” pages.  With the latest release they’ve cleaned up the interface in general and  in particular  they’ve finally fixed that annoying bug. Yea!  Duolingo has a great mix of word matching  sentence construction  translation  and repetition. I’m on a 282 day streak in Spanish  and it continues to be enjoyable and productive.  Great work  Duolingo.","+","5","Great way to learn a language!",3533515446,"https://itunes.apple.com/us/reviews/id34505905",5.2.63,0
"averyanoyyedperson!!!!!","This app was actually good for about five minutes. Every time I leave the app  I get six notifications. And then  here come the emails. I WILL GET FIVE EMAILS IN TEN MINUTES!!! If you don’t have a lot of space on your phone or iPad I recommend not getting it it will plug up your email","-","1","STOP SENDING ME NOTIFICATIONS!!!!!!!!",3533499554,"https://itunes.apple.com/us/reviews/id700261657",5.2.63,0
"ckupski","This app is easy for me to use and very intuitive. Thanks for making it available to anyone wanting to learn a new language!!! 👍🏽","+","5","Doubling",3533314416,"https://itunes.apple.com/us/reviews/id327707742",5.2.63,0
"kayyy234","The update ruined a good app. I do not like how you cannot go back and review certain lessons anymore. I had stopped learning Japanese for a while and lost a lot of progress  but I cannot start from the very beginning anymore.","-","2","I do not like the updates",3532555534,"https://itunes.apple.com/us/reviews/id949590782",5.2.63,0
"saba stars","Beautiful","+","5","Sabax2",3532153504,"https://itunes.apple.com/us/reviews/id691986061",5.2.63,0
"jhsgsnsnsnshysneybabbshhsbsnan","This is good for every single kid they can learn new language instead of 1?","+","5","Duolingo help",3532063153,"https://itunes.apple.com/us/reviews/id723646450",5.2.63,0
"Ench-Aroura","I can't believe this app is free ... I want to actually donate money to it because it's that awesome but it's free ... Wow it's my favorite app hands down ... I seriously am amazed I can't begin to say ... I would give it 1000000 stars if I could .","+","5","AMAZING",3532061456,"https://itunes.apple.com/us/reviews/id945869108",5.2.63,0
"M.Y. 12345","I love this app  but recently I’ve been trying to get my dad to learn English and this was my first stop. Unfortunately  to my disappointment  Duolingo does not offer English as a language taught. I think that should change  a lot of people will benefit from it. Please include English (American) as one of the languages that can be offered.","-","3","Need English as a Language to be Taught",3531831088,"https://itunes.apple.com/us/reviews/id287857600",5.2.63,1
"teju2007","Best app ever I am 11 and want to know French and this helped in a day. And it’s free I’m serious","+","5","Loooove it",3531502184,"https://itunes.apple.com/us/reviews/id433333049",5.2.63,0
"haolqbsisjzksd","Yesterday I was on a 59 day streak. Today I try to login in and it tells me that I’ve been logged out and I can’t get back in. Who ever did this should get fired because know I have to start all over again","-","1","It was good at first but then got worse",3531297189,"https://itunes.apple.com/us/reviews/id692303048",5.2.63,0
"Shiloh V","Great update! Except that now the words are too small. Perhaps this is due to the font change. Please consider making the text size 4 points bigger. (I’m using an iPad.)","+","4","Type too small",3531213051,"https://itunes.apple.com/us/reviews/id101347548",5.2.63,0
"SpicyPeaches","To people who are complaining about the price- Why you sister salty?  Ads and things help keep this amazing app free! I’m learning French  Czech  and Greek. All my friends have gotten interested and we all agree Duo is super cute!  I wish you could have the chat bots on your tablet or computer though  that would be helpful. I love how y’all make it fun and send daily reminders. Keep up the spectacular work!","+","5","Utterly Amazing!",3531141324,"https://itunes.apple.com/us/reviews/id861939859",5.2.63,0
"Police lives matter 💙🖤💙","This app is great and fun for learning a new language or languages. I’m learning German right now  and this app really helps.   Danke (thank you)  Dou!","+","5","Highly recommend if you’re interested in learning a new language!!",3531060333,"https://itunes.apple.com/us/reviews/id474826702",5.2.63,0
"Jawsthedalek","Let it be known I’m rating this 5 stars to get this to the top of the page.   Honestly  it’s so r**arded that I can’t view assignments at all while I’m on the app. There used to be a workaround where you could do it on safari or chrome but now you guys are forcing the mobile version. I’m unwillingly behind on homework because you idiots are keeping a vital feature away from an otherwise great app. If I were running things  I would fire programmers who take away features like that and try to shove down our throats stripped down content.  Duolingo  Fix this.","+","5","Horrible for people who use this for class",3531021596,"https://itunes.apple.com/us/reviews/id574501576",5.2.63,0
"deletes my progress","i’ve had this app for a few days now and made progress and was really liking it until it deleted all my progress and made me start over i was pretty mad but i redid it and the next day it was all gone again today it did that twice and for that reason it has 2 stars","-","2","deletes my progress",3531000304,"https://itunes.apple.com/us/reviews/id949430926",5.2.63,0
"AmeliaC353","Everything is good I wish we had more time speaking it though  all my friends say I pronounce it wrong.","+","5","Great app to learn a new language",3530924081,"https://itunes.apple.com/us/reviews/id839416819",5.2.63,0
"UNWISE OWL","THE RECENT UPDATES AND CHANGES TO THE DUOLINGO APP ARE IRRITATING    FRUSTRATING   AND NOT EXPLAINED ANYWHERE   MAKING MY ONCE LOVED LANGUAGE LEARNING APP USELESS TO ME  IN THE PREVIOUS VERSION THERE WERE NO LIMITATIONS OR RESTRICTIONS ON WHAT LEVEL OR LESSONS A PERSON COULD LEARN  DAILY LIFE AND WORK MEAN I HAVE A VERY BROAD TO DO LIST THAT MUST BE ACCOMPLISHED  I MUST BE ABLE TO USE THE SPECIFIC SUBJECT  LESSON ( S )  FOR THOSE PARTICIPATING CUSTOMERS   DUOLINGO’S UPDATE TODAY ( 12 / 14 / 2018 ) DOES NOT ALLOW THE PREVIOUS CAPABILITIES — EVERY LESSON MUST NOW BE TAKEN IN ORDER STARTING FROM THE INTRODUCTORY LESSON  I AM MORE ADVANCED THAN THE INTRODUCTION AND AM NOT HAPPY WITH DUOLINGO’S RESTRICTIVE AND CONTROLLING BEHAVIOR   SHOULDNT LANGUAGE LEARNERS GET THE FREEDOM TO LEARN AT THEIR OWN PACE   CHOOSE THE LESSONS THAT THEY'RE INTERESTED IN   AND BE ABLE TO FIND SPECIFIC WORDS OR PHRASES WHEN A SITUATIONAL NEED ARISES ???  I HAVE DELETED THE DUOLINGO APP FROM MY PHONE AND WILL FIND A FRIENDLIER AND HELPFUL LANGUAGE LEARNING APP  NOTE AS OF 12 / 14 / 18 AT 11:43 AM PACIFIC — I HAVE WRITTEN AND REWRITTEN THIS REVIEW SEVERAL TIMES AND CLICKED “SEND” BUT THE REVIEW DOES NOT APPEAR AT ALL  THAT IS NOT LIKE APPLE AND I’M WONDERING IF APPLE IS REVIEWING MY REVIEW BEFORE POSTING IT FOR OTHERS TO SEE???  I’M GOING TO CLICK “SEND” NOW AND HOPE THIS REVIEW POSTS IMMEDIATELY!!! IF NOT   THEN I WILL CALL APPLE AND FILE A COMPLAINT!!!!!!!!!!","-","1","DO NOT USE — THE NEW “HEALTH” IS TOXIC FOR LANGUAGE LEARNERS!!!",3530744034,"https://itunes.apple.com/us/reviews/id949390025",5.2.63,1
"my penis hard for u","Really like it","+","5","Good app",3530722770,"https://itunes.apple.com/us/reviews/id845428877",5.2.63,0
"ProfePeluche","I’m a Middle/High school Spanish teacher. Not only do I use it in my Spanish classes  I’m also using it personally to learn German. It’s a super fun  and quite effective language learning tool.   My kids love Duolingo days. So do I. It keeps them motivated to move forward. They can see their progress  and feel like they are actually learning something. The game/leveling aspect makes it addictive. Addiction learning is beyond a good thing.","+","5","Great app!",3530716679,"https://itunes.apple.com/us/reviews/id464367440",5.2.63,0
